Season,RaceNumber,Driver,Team,FP1,FP2,FP3,Qualifying,SprintShootout,Sprint,Race
2018,1,Lewis Hamilton,Mercedes,1.0,1.0,8.0,1.0,,,2.0
2018,1,Valtteri Bottas,Mercedes,2.0,3.0,7.0,10.0,,,8.0
2018,1,Max Verstappen,Red Bull Racing,3.0,2.0,4.0,4.0,,,6.0
2018,1,Kimi Räikkönen,Ferrari,4.0,4.0,2.0,2.0,,,3.0
2018,1,Sebastian Vettel,Ferrari,5.0,5.0,1.0,3.0,,,1.0
2018,1,Daniel Ricciardo,Red Bull Racing,6.0,7.0,6.0,5.0,,,4.0
2018,1,Romain Grosjean,Haas F1 Team,7.0,6.0,15.0,7.0,,,16.0
2018,1,Fernando Alonso,McLaren,8.0,8.0,10.0,11.0,,,5.0
2018,1,Carlos Sainz,Renault,9.0,11.0,5.0,9.0,,,10.0
2018,1,Stoffel Vandoorne,McLaren,10.0,10.0,9.0,12.0,,,9.0
2018,1,Pierre Gasly,Toro Rosso,11.0,17.0,11.0,20.0,,,18.0
2018,1,Sergey Sirotkin,Williams,12.0,18.0,13.0,19.0,,,20.0
2018,1,Nico Hulkenberg,Renault,13.0,13.0,18.0,8.0,,,7.0
2018,1,Esteban Ocon,Force India,14.0,15.0,,15.0,,,12.0
2018,1,Lance Stroll,Williams,15.0,14.0,14.0,14.0,,,14.0
2018,1,Sergio Perez,Force India,16.0,12.0,,13.0,,,11.0
2018,1,Kevin Magnussen,Haas F1 Team,17.0,9.0,17.0,6.0,,,17.0
2018,1,Brendon Hartley,Toro Rosso,18.0,16.0,12.0,16.0,,,15.0
2018,1,Marcus Ericsson,Sauber,19.0,19.0,3.0,17.0,,,19.0
2018,1,Charles Leclerc,Sauber,20.0,20.0,16.0,18.0,,,13.0
2018,2,Daniel Ricciardo,Red Bull Racing,1.0,6.0,3.0,5.0,,,20.0
2018,2,Valtteri Bottas,Mercedes,2.0,3.0,6.0,3.0,,,2.0
2018,2,Kimi Räikkönen,Ferrari,3.0,1.0,1.0,2.0,,,18.0
2018,2,Sebastian Vettel,Ferrari,4.0,2.0,5.0,1.0,,,1.0
2018,2,Lewis Hamilton,Mercedes,5.0,4.0,4.0,4.0,,,3.0
2018,2,Romain Grosjean,Haas F1 Team,6.0,11.0,12.0,16.0,,,13.0
2018,2,Pierre Gasly,Toro Rosso,7.0,8.0,9.0,6.0,,,4.0
2018,2,Carlos Sainz,Renault,8.0,12.0,8.0,10.0,,,11.0
2018,2,Kevin Magnussen,Haas F1 Team,9.0,15.0,15.0,7.0,,,5.0
2018,2,Nico Hulkenberg,Renault,10.0,7.0,7.0,8.0,,,6.0
2018,2,Fernando Alonso,McLaren,11.0,9.0,10.0,13.0,,,7.0
2018,2,Charles Leclerc,Sauber,12.0,16.0,18.0,19.0,,,12.0
2018,2,Stoffel Vandoorne,McLaren,13.0,10.0,17.0,14.0,,,8.0
2018,2,Lance Stroll,Williams,14.0,17.0,20.0,20.0,,,14.0
2018,2,Sergey Sirotkin,Williams,15.0,18.0,19.0,18.0,,,15.0
2018,2,Brendon Hartley,Toro Rosso,16.0,20.0,11.0,11.0,,,17.0
2018,2,Marcus Ericsson,Sauber,17.0,19.0,16.0,17.0,,,9.0
2018,2,Sergio Perez,Force India,18.0,14.0,14.0,12.0,,,16.0
2018,2,Esteban Ocon,Force India,19.0,13.0,13.0,9.0,,,10.0
2018,2,Max Verstappen,Red Bull Racing,,5.0,2.0,15.0,,,19.0
2018,3,Lewis Hamilton,Mercedes,1.0,1.0,5.0,4.0,,,4.0
2018,3,Kimi Räikkönen,Ferrari,2.0,2.0,2.0,2.0,,,3.0
2018,3,Valtteri Bottas,Mercedes,3.0,3.0,3.0,3.0,,,2.0
2018,3,Daniel Ricciardo,Red Bull Racing,4.0,9.0,15.0,6.0,,,1.0
2018,3,Max Verstappen,Red Bull Racing,5.0,5.0,4.0,5.0,,,5.0
2018,3,Sebastian Vettel,Ferrari,6.0,4.0,1.0,1.0,,,8.0
2018,3,Kevin Magnussen,Haas F1 Team,7.0,7.0,6.0,11.0,,,10.0
2018,3,Carlos Sainz,Renault,8.0,8.0,9.0,9.0,,,9.0
2018,3,Romain Grosjean,Haas F1 Team,9.0,19.0,20.0,10.0,,,17.0
2018,3,Nico Hulkenberg,Renault,10.0,6.0,11.0,7.0,,,6.0
2018,3,Pierre Gasly,Toro Rosso,11.0,12.0,16.0,17.0,,,18.0
2018,3,Fernando Alonso,McLaren,12.0,10.0,12.0,13.0,,,7.0
2018,3,Sergio Perez,Force India,13.0,11.0,7.0,8.0,,,12.0
2018,3,Esteban Ocon,Force India,14.0,13.0,8.0,12.0,,,11.0
2018,3,Sergey Sirotkin,Williams,15.0,16.0,10.0,16.0,,,15.0
2018,3,Brendon Hartley,Toro Rosso,16.0,15.0,14.0,15.0,,,20.0
2018,3,Charles Leclerc,Sauber,17.0,18.0,18.0,19.0,,,19.0
2018,3,Stoffel Vandoorne,McLaren,18.0,14.0,13.0,14.0,,,13.0
2018,3,Marcus Ericsson,Sauber,19.0,17.0,19.0,20.0,,,16.0
2018,3,Lance Stroll,Williams,20.0,20.0,17.0,18.0,,,14.0
2018,4,Valtteri Bottas,Mercedes,1.0,4.0,5.0,3.0,,,14.0
2018,4,Daniel Ricciardo,Red Bull Racing,2.0,1.0,12.0,4.0,,,17.0
2018,4,Sergio Perez,Force India,3.0,12.0,6.0,8.0,,,3.0
2018,4,Lewis Hamilton,Mercedes,4.0,5.0,2.0,2.0,,,1.0
2018,4,Esteban Ocon,Force India,5.0,7.0,9.0,7.0,,,19.0
2018,4,Max Verstappen,Red Bull Racing,6.0,3.0,4.0,5.0,,,16.0
2018,4,Fernando Alonso,McLaren,7.0,6.0,11.0,13.0,,,7.0
2018,4,Sergey Sirotkin,Williams,8.0,17.0,10.0,12.0,,,20.0
2018,4,Pierre Gasly,Toro Rosso,9.0,15.0,13.0,17.0,,,12.0
2018,4,Sebastian Vettel,Ferrari,10.0,11.0,1.0,1.0,,,4.0
2018,4,Lance Stroll,Williams,11.0,14.0,8.0,11.0,,,8.0
2018,4,Brendon Hartley,Toro Rosso,12.0,18.0,20.0,19.0,,,10.0
2018,4,Nico Hulkenberg,Renault,13.0,10.0,17.0,9.0,,,18.0
2018,4,Romain Grosjean,Haas F1 Team,14.0,13.0,15.0,20.0,,,15.0
2018,4,Kimi Räikkönen,Ferrari,15.0,2.0,3.0,6.0,,,2.0
2018,4,Charles Leclerc,Sauber,16.0,16.0,14.0,14.0,,,6.0
2018,4,Marcus Ericsson,Sauber,17.0,20.0,19.0,18.0,,,11.0
2018,4,Kevin Magnussen,Haas F1 Team,18.0,9.0,7.0,15.0,,,13.0
2018,4,Stoffel Vandoorne,McLaren,19.0,19.0,18.0,16.0,,,9.0
2018,4,Carlos Sainz,Renault,20.0,8.0,16.0,10.0,,,5.0
2018,5,Valtteri Bottas,Mercedes,1.0,5.0,2.0,2.0,,,2.0
2018,5,Lewis Hamilton,Mercedes,2.0,1.0,1.0,1.0,,,1.0
2018,5,Sebastian Vettel,Ferrari,3.0,4.0,3.0,3.0,,,4.0
2018,5,Max Verstappen,Red Bull Racing,4.0,3.0,12.0,5.0,,,3.0
2018,5,Kimi Räikkönen,Ferrari,5.0,6.0,4.0,4.0,,,17.0
2018,5,Fernando Alonso,McLaren,6.0,12.0,9.0,8.0,,,8.0
2018,5,Daniel Ricciardo,Red Bull Racing,7.0,2.0,5.0,6.0,,,5.0
2018,5,Romain Grosjean,Haas F1 Team,8.0,7.0,7.0,10.0,,,18.0
2018,5,Stoffel Vandoorne,McLaren,9.0,9.0,14.0,11.0,,,15.0
2018,5,Pierre Gasly,Toro Rosso,10.0,14.0,10.0,12.0,,,19.0
2018,5,Kevin Magnussen,Haas F1 Team,11.0,8.0,6.0,7.0,,,6.0
