Season,RaceNumber,Driver,Actual,Predicted,Difference
2018,4,Lewis Hamilton,1,1.0,0.0
2018,4,Kimi Räikkönen,2,6.0,4.0
2018,4,Sergio Perez,3,10.0,7.0
2018,4,Sebastian Vettel,4,2.0,2.0
2018,4,Carlos Sainz,5,11.0,6.0
2018,4,Charles Leclerc,6,14.0,8.0
2018,4,Fernando Alonso,7,8.0,1.0
2018,4,Lance Stroll,8,13.0,5.0
2018,4,Stoffel Vandoorne,9,12.0,3.0
2018,4,Brendon Hartley,10,20.0,10.0
2018,4,Marcus Ericsson,11,19.0,8.0
2018,4,Pierre Gasly,12,16.0,4.0
2018,4,Kevin Magnussen,13,15.0,2.0
2018,4,Valtteri Bottas,14,3.0,11.0
2018,4,Romain Grosjean,15,18.0,3.0
2018,4,Max Verstappen,16,5.0,11.0
2018,4,Daniel Ricciardo,17,4.0,13.0
2018,4,Nico Hulkenberg,18,9.0,9.0
2018,4,Esteban Ocon,19,7.0,12.0
2018,4,Sergey Sirotkin,20,17.0,3.0
2018,5,Lewis Hamilton,1,1.0,0.0
2018,5,Valtteri Bottas,2,3.0,1.0
2018,5,Max Verstappen,3,5.0,2.0
2018,5,Sebastian Vettel,4,2.0,2.0
2018,5,Daniel Ricciardo,5,6.0,1.0
2018,5,Kevin Magnussen,6,8.0,2.0
2018,5,Carlos Sainz,7,9.0,2.0
2018,5,Fernando Alonso,8,7.0,1.0
2018,5,Sergio Perez,9,15.0,6.0
2018,5,Charles Leclerc,10,16.0,6.0
2018,5,Lance Stroll,11,19.0,8.0
2018,5,Brendon Hartley,12,18.0,6.0
2018,5,Marcus Ericsson,13,17.0,4.0
2018,5,Sergey Sirotkin,14,20.0,6.0
2018,5,Stoffel Vandoorne,15,10.0,5.0
2018,5,Esteban Ocon,16,13.0,3.0
2018,5,Kimi Räikkönen,17,4.0,13.0
2018,5,Romain Grosjean,18,11.0,7.0
2018,5,Pierre Gasly,19,14.0,5.0
2018,5,Nico Hulkenberg,20,12.0,8.0
2018,7,Sebastian Vettel,1,1.0,0.0
2018,7,Valtteri Bottas,2,3.0,1.0
2018,7,Max Verstappen,3,4.0,1.0
2018,7,Daniel Ricciardo,4,6.0,2.0
2018,7,Lewis Hamilton,5,2.0,3.0
2018,7,Kimi Räikkönen,6,5.0,1.0
2018,7,Nico Hulkenberg,7,7.0,0.0
2018,7,Carlos Sainz,8,8.0,0.0
2018,7,Esteban Ocon,9,9.0,0.0
2018,7,Charles Leclerc,10,13.0,3.0
2018,7,Pierre Gasly,11,16.0,5.0
2018,7,Romain Grosjean,12,17.0,5.0
2018,7,Kevin Magnussen,13,12.0,1.0
2018,7,Sergio Perez,14,10.0,4.0
2018,7,Marcus Ericsson,15,18.0,3.0
2018,7,Stoffel Vandoorne,16,14.0,2.0
2018,7,Sergey Sirotkin,17,20.0,3.0
2018,7,Fernando Alonso,18,11.0,7.0
2018,7,Brendon Hartley,19,15.0,4.0
2018,7,Lance Stroll,20,19.0,1.0
2018,8,Lewis Hamilton,1,1.0,0.0
2018,8,Max Verstappen,2,4.0,2.0
2018,8,Kimi Räikkönen,3,6.0,3.0
2018,8,Daniel Ricciardo,4,5.0,1.0
2018,8,Sebastian Vettel,5,2.0,3.0
2018,8,Kevin Magnussen,6,11.0,5.0
2018,8,Valtteri Bottas,7,3.0,4.0
2018,8,Carlos Sainz,8,7.0,1.0
2018,8,Nico Hulkenberg,9,8.0,1.0
2018,8,Charles Leclerc,10,9.0,1.0
2018,8,Romain Grosjean,11,14.0,3.0
2018,8,Stoffel Vandoorne,12,16.0,4.0
2018,8,Marcus Ericsson,13,17.0,4.0
2018,8,Brendon Hartley,14,18.0,4.0
2018,8,Sergey Sirotkin,15,20.0,5.0
2018,8,Fernando Alonso,16,12.0,4.0
2018,8,Lance Stroll,17,19.0,2.0
2018,8,Sergio Perez,18,13.0,5.0
2018,8,Esteban Ocon,19,10.0,9.0
2018,8,Pierre Gasly,20,15.0,5.0
2018,18,Kimi Räikkönen,1,4.0,3.0
2018,18,Max Verstappen,2,6.0,4.0
2018,18,Lewis Hamilton,3,1.0,2.0
2018,18,Sebastian Vettel,4,2.0,2.0
2018,18,Valtteri Bottas,5,3.0,2.0
2018,18,Nico Hulkenberg,6,8.0,2.0
2018,18,Carlos Sainz,7,10.0,3.0
2018,18,Sergio Perez,8,9.0,1.0
2018,18,Brendon Hartley,9,16.0,7.0
2018,18,Marcus Ericsson,10,17.0,7.0
2018,18,Stoffel Vandoorne,11,18.0,7.0
2018,18,Pierre Gasly,12,14.0,2.0
2018,18,Sergey Sirotkin,13,20.0,7.0
2018,18,Lance Stroll,14,19.0,5.0
2018,18,Charles Leclerc,15,11.0,4.0
2018,18,Daniel Ricciardo,16,5.0,11.0
2018,18,Romain Grosjean,17,12.0,5.0
2018,18,Fernando Alonso,18,15.0,3.0
2018,18,Esteban Ocon,19,7.0,12.0
2018,18,Kevin Magnussen,20,13.0,7.0
2018,20,Lewis Hamilton,1,1.0,0.0
2018,20,Max Verstappen,2,5.0,3.0
2018,20,Kimi Räikkönen,3,4.0,1.0
2018,20,Daniel Ricciardo,4,6.0,2.0
2018,20,Valtteri Bottas,5,3.0,2.0
2018,20,Sebastian Vettel,6,2.0,4.0
2018,20,Charles Leclerc,7,7.0,0.0
2018,20,Romain Grosjean,8,12.0,4.0
2018,20,Kevin Magnussen,9,9.0,0.0
2018,20,Sergio Perez,10,8.0,2.0
2018,20,Brendon Hartley,11,18.0,7.0
2018,20,Carlos Sainz,12,14.0,2.0
2018,20,Pierre Gasly,13,15.0,2.0
2018,20,Stoffel Vandoorne,14,17.0,3.0
2018,20,Esteban Ocon,15,11.0,4.0
2018,20,Sergey Sirotkin,16,19.0,3.0
2018,20,Fernando Alonso,17,16.0,1.0
2018,20,Lance Stroll,18,20.0,2.0
2018,20,Nico Hulkenberg,19,10.0,9.0
2018,20,Marcus Ericsson,20,13.0,7.0
2019,6,Lewis Hamilton,1,1.0,0.0
2019,6,Sebastian Vettel,2,4.0,2.0
2019,6,Valtteri Bottas,3,2.0,1.0
2019,6,Max Verstappen,4,3.0,1.0
2019,6,Pierre Gasly,5,5.0,0.0
2019,6,Carlos Sainz,6,8.0,2.0
2019,6,Daniil Kvyat,7,12.0,5.0
2019,6,Alexander Albon,8,11.0,3.0
2019,6,Daniel Ricciardo,9,9.0,0.0
2019,6,Romain Grosjean,10,15.0,5.0
2019,6,Lando Norris,11,10.0,1.0
2019,6,Sergio Perez,12,16.0,4.0
2019,6,Nico Hulkenberg,13,13.0,0.0
2019,6,Kevin Magnussen,14,7.0,7.0
2019,6,George Russell,15,19.0,4.0
2019,6,Lance Stroll,16,18.0,2.0
2019,6,Kimi Räikkönen,17,14.0,3.0
2019,6,Robert Kubica,18,20.0,2.0
2019,6,Antonio Giovinazzi,19,17.0,2.0
2019,6,Charles Leclerc,20,6.0,14.0
2019,9,Max Verstappen,1,4.0,3.0
2019,9,Charles Leclerc,2,2.0,0.0
2019,9,Valtteri Bottas,3,3.0,0.0
2019,9,Sebastian Vettel,4,5.0,1.0
2019,9,Lewis Hamilton,5,1.0,4.0
2019,9,Lando Norris,6,6.0,0.0
2019,9,Pierre Gasly,7,7.0,0.0
2019,9,Carlos Sainz,8,9.0,1.0
2019,9,Kimi Räikkönen,9,8.0,1.0
2019,9,Antonio Giovinazzi,10,13.0,3.0
2019,9,Sergio Perez,11,16.0,5.0
2019,9,Daniel Ricciardo,12,12.0,0.0
2019,9,Nico Hulkenberg,13,11.0,2.0
2019,9,Lance Stroll,14,18.0,4.0
2019,9,Alexander Albon,15,15.0,0.0
2019,9,Romain Grosjean,16,14.0,2.0
2019,9,Daniil Kvyat,17,17.0,0.0
2019,9,George Russell,18,19.0,1.0
2019,9,Kevin Magnussen,19,10.0,9.0
2019,9,Robert Kubica,20,20.0,0.0
2019,12,Lewis Hamilton,1,1.0,0.0
2019,12,Max Verstappen,2,2.0,0.0
2019,12,Sebastian Vettel,3,5.0,2.0
2019,12,Charles Leclerc,4,4.0,0.0
2019,12,Carlos Sainz,5,7.0,2.0
2019,12,Pierre Gasly,6,6.0,0.0
2019,12,Kimi Räikkönen,7,9.0,2.0
2019,12,Valtteri Bottas,8,3.0,5.0
2019,12,Lando Norris,9,8.0,1.0
2019,12,Alexander Albon,10,11.0,1.0
2019,12,Sergio Perez,11,16.0,5.0
2019,12,Nico Hulkenberg,12,10.0,2.0
2019,12,Kevin Magnussen,13,15.0,2.0
2019,12,Daniel Ricciardo,14,14.0,0.0
2019,12,Daniil Kvyat,15,12.0,3.0
2019,12,George Russell,16,19.0,3.0
2019,12,Lance Stroll,17,18.0,1.0
2019,12,Antonio Giovinazzi,18,17.0,1.0
2019,12,Robert Kubica,19,20.0,1.0
2019,12,Romain Grosjean,20,13.0,7.0
2019,17,Valtteri Bottas,1,3.0,2.0
2019,17,Sebastian Vettel,2,4.0,2.0
2019,17,Lewis Hamilton,3,1.0,2.0
2019,17,Alexander Albon,4,6.0,2.0
2019,17,Carlos Sainz,5,7.0,2.0
2019,17,Charles Leclerc,6,2.0,4.0
2019,17,Pierre Gasly,7,9.0,2.0
2019,17,Sergio Perez,8,13.0,5.0
2019,17,Lance Stroll,9,10.0,1.0
2019,17,Daniil Kvyat,10,17.0,7.0
2019,17,Lando Norris,11,8.0,3.0
2019,17,Kimi Räikkönen,12,12.0,0.0
2019,17,Romain Grosjean,13,14.0,1.0
2019,17,Antonio Giovinazzi,14,16.0,2.0
2019,17,Kevin Magnussen,15,18.0,3.0
2019,17,George Russell,16,19.0,3.0
2019,17,Robert Kubica,17,20.0,3.0
2019,17,Max Verstappen,18,5.0,13.0
2019,17,Daniel Ricciardo,19,11.0,8.0
2019,17,Nico Hulkenberg,20,15.0,5.0
2019,18,Lewis Hamilton,1,1.0,0.0
2019,18,Sebastian Vettel,2,4.0,2.0
2019,18,Valtteri Bottas,3,5.0,2.0
2019,18,Charles Leclerc,4,2.0,2.0
2019,18,Alexander Albon,5,6.0,1.0
2019,18,Max Verstappen,6,3.0,3.0
2019,18,Sergio Perez,7,10.0,3.0
2019,18,Daniel Ricciardo,8,13.0,5.0
2019,18,Pierre Gasly,9,12.0,3.0
2019,18,Nico Hulkenberg,10,11.0,1.0
2019,18,Daniil Kvyat,11,9.0,2.0
2019,18,Lance Stroll,12,15.0,3.0
2019,18,Carlos Sainz,13,7.0,6.0
2019,18,Antonio Giovinazzi,14,16.0,2.0
2019,18,Kevin Magnussen,15,17.0,2.0
2019,18,George Russell,16,19.0,3.0
2019,18,Romain Grosjean,17,18.0,1.0
2019,18,Robert Kubica,18,20.0,2.0
2019,18,Kimi Räikkönen,19,14.0,5.0
2019,18,Lando Norris,20,8.0,12.0
2019,19,Valtteri Bottas,1,1.0,0.0
2019,19,Lewis Hamilton,2,2.0,0.0
2019,19,Max Verstappen,3,3.0,0.0
2019,19,Charles Leclerc,4,4.0,0.0
2019,19,Alexander Albon,5,6.0,1.0
2019,19,Daniel Ricciardo,6,9.0,3.0
2019,19,Lando Norris,7,8.0,1.0
2019,19,Carlos Sainz,8,7.0,1.0
2019,19,Nico Hulkenberg,9,10.0,1.0
2019,19,Sergio Perez,10,15.0,5.0
2019,19,Kimi Räikkönen,11,16.0,5.0
2019,19,Daniil Kvyat,12,12.0,0.0
2019,19,Lance Stroll,13,13.0,0.0
2019,19,Antonio Giovinazzi,14,18.0,4.0
2019,19,Romain Grosjean,15,17.0,2.0
2019,19,Pierre Gasly,16,11.0,5.0
2019,19,George Russell,17,19.0,2.0
2019,19,Kevin Magnussen,18,14.0,4.0
2019,19,Robert Kubica,19,20.0,1.0
2019,19,Sebastian Vettel,20,5.0,15.0
2020,1,Valtteri Bottas,1,2.0,1.0
2020,1,Charles Leclerc,2,5.0,3.0
2020,1,Lando Norris,3,3.0,0.0
2020,1,Lewis Hamilton,4,1.0,3.0
2020,1,Carlos Sainz,5,4.0,1.0
2020,1,Sergio Perez,6,7.0,1.0
2020,1,Pierre Gasly,7,10.0,3.0
2020,1,Esteban Ocon,8,16.0,8.0
2020,1,Antonio Giovinazzi,9,18.0,9.0
2020,1,Sebastian Vettel,10,8.0,2.0
2020,1,Nicholas Latifi,11,20.0,9.0
2020,1,Daniil Kvyat,12,12.0,0.0
2020,1,Alexander Albon,13,14.0,1.0
2020,1,Kimi Räikkönen,14,17.0,3.0
2020,1,George Russell,15,19.0,4.0
2020,1,Romain Grosjean,16,13.0,3.0
2020,1,Kevin Magnussen,17,11.0,6.0
2020,1,Lance Stroll,18,15.0,3.0
2020,1,Daniel Ricciardo,19,9.0,10.0
2020,1,Max Verstappen,20,6.0,14.0
2020,6,Lewis Hamilton,1,1.0,0.0
2020,6,Max Verstappen,2,3.0,1.0
2020,6,Valtteri Bottas,3,2.0,1.0
2020,6,Lance Stroll,4,7.0,3.0
2020,6,Sergio Perez,5,4.0,1.0
2020,6,Carlos Sainz,6,6.0,0.0
2020,6,Sebastian Vettel,7,10.0,3.0
2020,6,Alexander Albon,8,5.0,3.0
2020,6,Pierre Gasly,9,12.0,3.0
2020,6,Lando Norris,10,9.0,1.0
2020,6,Daniel Ricciardo,11,11.0,0.0
2020,6,Daniil Kvyat,12,13.0,1.0
2020,6,Esteban Ocon,13,14.0,1.0
2020,6,Kimi Räikkönen,14,15.0,1.0
2020,6,Kevin Magnussen,15,17.0,2.0
2020,6,Antonio Giovinazzi,16,18.0,2.0
2020,6,George Russell,17,19.0,2.0
2020,6,Nicholas Latifi,18,20.0,2.0
2020,6,Romain Grosjean,19,16.0,3.0
2020,6,Charles Leclerc,20,8.0,12.0
2020,7,Lewis Hamilton,1,1.0,0.0
2020,7,Valtteri Bottas,2,2.0,0.0
2020,7,Max Verstappen,3,3.0,0.0
2020,7,Daniel Ricciardo,4,5.0,1.0
2020,7,Esteban Ocon,5,8.0,3.0
2020,7,Alexander Albon,6,4.0,2.0
2020,7,Lando Norris,7,9.0,2.0
2020,7,Pierre Gasly,8,12.0,4.0
2020,7,Lance Stroll,9,10.0,1.0
2020,7,Sergio Perez,10,7.0,3.0
2020,7,Daniil Kvyat,11,14.0,3.0
2020,7,Kimi Räikkönen,12,15.0,3.0
2020,7,Sebastian Vettel,13,13.0,0.0
2020,7,Charles Leclerc,14,11.0,3.0
2020,7,Romain Grosjean,15,18.0,3.0
2020,7,Nicholas Latifi,16,20.0,4.0
2020,7,Kevin Magnussen,17,19.0,2.0
2020,7,Antonio Giovinazzi,18,16.0,2.0
2020,7,George Russell,19,17.0,2.0
2020,7,Carlos Sainz,20,6.0,14.0
2020,12,Lewis Hamilton,1,1.0,0.0
2020,12,Valtteri Bottas,2,2.0,0.0
2020,12,Max Verstappen,3,3.0,0.0
2020,12,Charles Leclerc,4,4.0,0.0
2020,12,Pierre Gasly,5,10.0,5.0
2020,12,Carlos Sainz,6,7.0,1.0
2020,12,Sergio Perez,7,5.0,2.0
2020,12,Esteban Ocon,8,11.0,3.0
2020,12,Daniel Ricciardo,9,9.0,0.0
2020,12,Sebastian Vettel,10,13.0,3.0
2020,12,Kimi Räikkönen,11,15.0,4.0
2020,12,Alexander Albon,12,6.0,6.0
2020,12,Lando Norris,13,8.0,5.0
2020,12,George Russell,14,16.0,2.0
2020,12,Antonio Giovinazzi,15,17.0,2.0
2020,12,Kevin Magnussen,16,19.0,3.0
2020,12,Romain Grosjean,17,18.0,1.0
2020,12,Nicholas Latifi,18,20.0,2.0
2020,12,Daniil Kvyat,19,14.0,5.0
2020,12,Lance Stroll,20,12.0,8.0
2021,7,Max Verstappen,1,1.0,0.0
2021,7,Lewis Hamilton,2,2.0,0.0
2021,7,Sergio Perez,3,3.0,0.0
2021,7,Valtteri Bottas,4,4.0,0.0
2021,7,Lando Norris,5,6.0,1.0
2021,7,Daniel Ricciardo,6,9.0,3.0
2021,7,Pierre Gasly,7,8.0,1.0
2021,7,Fernando Alonso,8,10.0,2.0
2021,7,Sebastian Vettel,9,12.0,3.0
2021,7,Lance Stroll,10,16.0,6.0
2021,7,Carlos Sainz,11,5.0,6.0
2021,7,George Russell,12,17.0,5.0
2021,7,Yuki Tsunoda,13,14.0,1.0
2021,7,Esteban Ocon,14,11.0,3.0
2021,7,Antonio Giovinazzi,15,13.0,2.0
2021,7,Charles Leclerc,16,7.0,9.0
2021,7,Kimi Räikkönen,17,15.0,2.0
2021,7,Nicholas Latifi,18,19.0,1.0
2021,7,Mick Schumacher,19,18.0,1.0
2021,7,Nikita Mazepin,20,20.0,0.0
2021,10,Lewis Hamilton,1,2.0,1.0
2021,10,Charles Leclerc,2,5.0,3.0
2021,10,Valtteri Bottas,3,3.0,0.0
2021,10,Lando Norris,4,6.0,2.0
2021,10,Daniel Ricciardo,5,8.0,3.0
2021,10,Carlos Sainz,6,7.0,1.0
2021,10,Fernando Alonso,7,11.0,4.0
2021,10,Lance Stroll,8,14.0,6.0
2021,10,Esteban Ocon,9,12.0,3.0
2021,10,Yuki Tsunoda,10,15.0,5.0
2021,10,Pierre Gasly,11,9.0,2.0
2021,10,George Russell,12,13.0,1.0
2021,10,Antonio Giovinazzi,13,16.0,3.0
2021,10,Nicholas Latifi,14,19.0,5.0
2021,10,Kimi Räikkönen,15,17.0,2.0
2021,10,Sergio Perez,16,4.0,12.0
2021,10,Nikita Mazepin,17,20.0,3.0
2021,10,Mick Schumacher,18,18.0,0.0
2021,10,Sebastian Vettel,19,10.0,9.0
2021,10,Max Verstappen,20,1.0,19.0
2021,15,Lewis Hamilton,1,1.0,0.0
2021,15,Max Verstappen,2,6.0,4.0
2021,15,Carlos Sainz,3,3.0,0.0
2021,15,Daniel Ricciardo,4,5.0,1.0
2021,15,Valtteri Bottas,5,4.0,1.0
2021,15,Fernando Alonso,6,8.0,2.0
2021,15,Lando Norris,7,2.0,5.0
2021,15,Kimi Räikkönen,8,16.0,8.0
2021,15,Sergio Perez,9,7.0,2.0
2021,15,George Russell,10,10.0,0.0
2021,15,Lance Stroll,11,14.0,3.0
2021,15,Sebastian Vettel,12,13.0,1.0
2021,15,Pierre Gasly,13,12.0,1.0
2021,15,Esteban Ocon,14,11.0,3.0
2021,15,Charles Leclerc,15,9.0,6.0
2021,15,Antonio Giovinazzi,16,18.0,2.0
2021,15,Yuki Tsunoda,17,15.0,2.0
2021,15,Nikita Mazepin,18,20.0,2.0
2021,15,Nicholas Latifi,19,17.0,2.0
2021,15,Mick Schumacher,20,19.0,1.0
2022,10,Carlos Sainz,1,3.0,2.0
2022,10,Sergio Perez,2,4.0,2.0
2022,10,Lewis Hamilton,3,5.0,2.0
2022,10,Charles Leclerc,4,2.0,2.0
2022,10,Fernando Alonso,5,8.0,3.0
2022,10,Lando Norris,6,7.0,1.0
2022,10,Max Verstappen,7,1.0,6.0
2022,10,Mick Schumacher,8,20.0,12.0
2022,10,Sebastian Vettel,9,15.0,6.0
2022,10,Kevin Magnussen,10,17.0,7.0
2022,10,Lance Stroll,11,18.0,7.0
2022,10,Nicholas Latifi,12,16.0,4.0
2022,10,Daniel Ricciardo,13,12.0,1.0
2022,10,Yuki Tsunoda,14,14.0,0.0
2022,10,Esteban Ocon,15,11.0,4.0
2022,10,Pierre Gasly,16,13.0,3.0
2022,10,Valtteri Bottas,17,9.0,8.0
2022,10,George Russell,18,6.0,12.0
2022,10,Guanyu Zhou,19,10.0,9.0
2022,10,Alexander Albon,20,19.0,1.0
2022,18,Max Verstappen,1,1.0,0.0
2022,18,Sergio Perez,2,3.0,1.0
2022,18,Charles Leclerc,3,2.0,1.0
2022,18,Esteban Ocon,4,7.0,3.0
2022,18,Lewis Hamilton,5,5.0,0.0
2022,18,Sebastian Vettel,6,10.0,4.0
2022,18,Fernando Alonso,7,8.0,1.0
2022,18,George Russell,8,6.0,2.0
2022,18,Nicholas Latifi,9,20.0,11.0
2022,18,Lando Norris,10,9.0,1.0
2022,18,Daniel Ricciardo,11,12.0,1.0
2022,18,Lance Stroll,12,17.0,5.0
2022,18,Yuki Tsunoda,13,14.0,1.0
2022,18,Kevin Magnussen,14,13.0,1.0
2022,18,Valtteri Bottas,15,11.0,4.0
2022,18,Guanyu Zhou,16,15.0,1.0
2022,18,Mick Schumacher,17,19.0,2.0
2022,18,Pierre Gasly,18,18.0,0.0
2022,18,Carlos Sainz,19,4.0,15.0
2022,18,Alexander Albon,20,16.0,4.0
2022,20,Max Verstappen,1,1.0,0.0
2022,20,Lewis Hamilton,2,4.0,2.0
2022,20,Sergio Perez,3,3.0,0.0
2022,20,George Russell,4,2.0,2.0
2022,20,Carlos Sainz,5,5.0,0.0
2022,20,Charles Leclerc,6,6.0,0.0
2022,20,Daniel Ricciardo,7,11.0,4.0
2022,20,Esteban Ocon,8,10.0,2.0
2022,20,Lando Norris,9,9.0,0.0
2022,20,Valtteri Bottas,10,8.0,2.0
2022,20,Pierre Gasly,11,15.0,4.0
2022,20,Alexander Albon,12,18.0,6.0
2022,20,Guanyu Zhou,13,12.0,1.0
2022,20,Sebastian Vettel,14,13.0,1.0
2022,20,Lance Stroll,15,17.0,2.0
2022,20,Mick Schumacher,16,19.0,3.0
2022,20,Kevin Magnussen,17,16.0,1.0
2022,20,Nicholas Latifi,18,20.0,2.0
2022,20,Fernando Alonso,19,7.0,12.0
2022,20,Yuki Tsunoda,20,14.0,6.0
2023,2,Sergio Perez,1,1.0,0.0
2023,2,Max Verstappen,2,4.0,2.0
2023,2,Fernando Alonso,3,2.0,1.0
2023,2,George Russell,4,5.0,1.0
2023,2,Lewis Hamilton,5,7.0,2.0
2023,2,Carlos Sainz,6,6.0,0.0
2023,2,Charles Leclerc,7,3.0,4.0
2023,2,Esteban Ocon,8,9.0,1.0
2023,2,Pierre Gasly,9,10.0,1.0
2023,2,Kevin Magnussen,10,14.0,4.0
2023,2,Yuki Tsunoda,11,18.0,7.0
2023,2,Nico Hulkenberg,12,11.0,1.0
2023,2,Guanyu Zhou,13,12.0,1.0
2023,2,Nyck De Vries,14,20.0,6.0
2023,2,Oscar Piastri,15,13.0,2.0
2023,2,Logan Sargeant,16,19.0,3.0
2023,2,Lando Norris,17,17.0,0.0
2023,2,Valtteri Bottas,18,15.0,3.0
2023,2,Alexander Albon,19,16.0,3.0
2023,2,Lance Stroll,20,8.0,12.0
2023,9,Max Verstappen,1,1.0,0.0
2023,9,Charles Leclerc,2,2.0,0.0
2023,9,Sergio Perez,3,8.0,5.0
2023,9,Lando Norris,4,6.0,2.0
2023,9,Fernando Alonso,5,5.0,0.0
2023,9,Carlos Sainz,6,4.0,2.0
2023,9,George Russell,7,9.0,2.0
2023,9,Lewis Hamilton,8,3.0,5.0
2023,9,Lance Stroll,9,7.0,2.0
2023,9,Pierre Gasly,10,10.0,0.0
2023,9,Alexander Albon,11,13.0,2.0
2023,9,Guanyu Zhou,12,17.0,5.0
2023,9,Logan Sargeant,13,19.0,6.0
2023,9,Esteban Ocon,14,11.0,3.0
2023,9,Valtteri Bottas,15,15.0,0.0
2023,9,Oscar Piastri,16,14.0,2.0
2023,9,Nyck De Vries,17,20.0,3.0
2023,9,Kevin Magnussen,18,18.0,0.0
2023,9,Yuki Tsunoda,19,16.0,3.0
2023,9,Nico Hulkenberg,20,12.0,8.0
2023,14,Max Verstappen,1,1.0,0.0
2023,14,Sergio Perez,2,4.0,2.0
2023,14,Carlos Sainz,3,2.0,1.0
2023,14,Charles Leclerc,4,3.0,1.0
2023,14,George Russell,5,5.0,0.0
2023,14,Lewis Hamilton,6,6.0,0.0
2023,14,Alexander Albon,7,10.0,3.0
2023,14,Lando Norris,8,9.0,1.0
2023,14,Fernando Alonso,9,7.0,2.0
2023,14,Valtteri Bottas,10,17.0,7.0
2023,14,Liam Lawson,11,12.0,1.0
2023,14,Oscar Piastri,12,8.0,4.0
2023,14,Logan Sargeant,13,18.0,5.0
2023,14,Guanyu Zhou,14,19.0,5.0
2023,14,Pierre Gasly,15,15.0,0.0
2023,14,Lance Stroll,16,11.0,5.0
2023,14,Nico Hulkenberg,17,14.0,3.0
2023,14,Kevin Magnussen,18,20.0,2.0
2023,14,Esteban Ocon,19,16.0,3.0
2023,14,Yuki Tsunoda,20,13.0,7.0
2023,17,Max Verstappen,1,1.0,0.0
2023,17,Oscar Piastri,2,8.0,6.0
2023,17,Lando Norris,3,7.0,4.0
2023,17,George Russell,4,3.0,1.0
2023,17,Charles Leclerc,5,5.0,0.0
2023,17,Fernando Alonso,6,4.0,2.0
2023,17,Esteban Ocon,7,11.0,4.0
2023,17,Valtteri Bottas,8,13.0,5.0
2023,17,Guanyu Zhou,9,17.0,8.0
2023,17,Sergio Perez,10,9.0,1.0
2023,17,Lance Stroll,11,12.0,1.0
2023,17,Pierre Gasly,12,10.0,2.0
2023,17,Alexander Albon,13,15.0,2.0
2023,17,Kevin Magnussen,14,20.0,6.0
2023,17,Yuki Tsunoda,15,14.0,1.0
2023,17,Nico Hulkenberg,16,16.0,0.0
2023,17,Liam Lawson,17,18.0,1.0
2023,17,Logan Sargeant,18,19.0,1.0
2023,17,Lewis Hamilton,19,2.0,17.0
2023,17,Carlos Sainz,20,6.0,14.0
2023,19,Max Verstappen,1,1.0,0.0
2023,19,Lewis Hamilton,2,5.0,3.0
2023,19,Charles Leclerc,3,2.0,1.0
2023,19,Carlos Sainz,4,4.0,0.0
2023,19,Lando Norris,5,9.0,4.0
2023,19,George Russell,6,6.0,0.0
2023,19,Daniel Ricciardo,7,8.0,1.0
2023,19,Oscar Piastri,8,7.0,1.0
2023,19,Alexander Albon,9,13.0,4.0
2023,19,Esteban Ocon,10,16.0,6.0
2023,19,Pierre Gasly,11,11.0,0.0
2023,19,Yuki Tsunoda,12,18.0,6.0
2023,19,Nico Hulkenberg,13,17.0,4.0
2023,19,Guanyu Zhou,14,15.0,1.0
2023,19,Valtteri Bottas,15,12.0,3.0
2023,19,Logan Sargeant,16,19.0,3.0
2023,19,Lance Stroll,17,14.0,3.0
2023,19,Fernando Alonso,18,10.0,8.0
2023,19,Kevin Magnussen,19,20.0,1.0
2023,19,Sergio Perez,20,3.0,17.0
2023,20,Max Verstappen,1,1.0,0.0
2023,20,Lando Norris,2,9.0,7.0
2023,20,Fernando Alonso,3,4.0,1.0
2023,20,Sergio Perez,4,7.0,3.0
2023,20,Lance Stroll,5,6.0,1.0
2023,20,Carlos Sainz,6,8.0,2.0
2023,20,Pierre Gasly,7,11.0,4.0
2023,20,Lewis Hamilton,8,3.0,5.0
2023,20,Yuki Tsunoda,9,15.0,6.0
2023,20,Esteban Ocon,10,12.0,2.0
2023,20,Logan Sargeant,11,20.0,9.0
2023,20,Nico Hulkenberg,12,13.0,1.0
2023,20,Daniel Ricciardo,13,16.0,3.0
2023,20,Oscar Piastri,14,10.0,4.0
2023,20,George Russell,15,5.0,10.0
2023,20,Valtteri Bottas,16,17.0,1.0
2023,20,Guanyu Zhou,17,19.0,2.0
2023,20,Kevin Magnussen,18,18.0,0.0
2023,20,Alexander Albon,19,14.0,5.0
2023,20,Charles Leclerc,20,2.0,18.0
2024,4,Max Verstappen,1,1.0,0.0
2024,4,Sergio Perez,2,4.0,2.0
2024,4,Carlos Sainz,3,2.0,1.0
2024,4,Charles Leclerc,4,5.0,1.0
2024,4,Lando Norris,5,3.0,2.0
2024,4,Fernando Alonso,6,7.0,1.0
2024,4,George Russell,7,9.0,2.0
2024,4,Oscar Piastri,8,6.0,2.0
2024,4,Lewis Hamilton,9,8.0,1.0
2024,4,Yuki Tsunoda,10,10.0,0.0
2024,4,Nico Hulkenberg,11,11.0,0.0
2024,4,Lance Stroll,12,13.0,1.0
2024,4,Kevin Magnussen,13,16.0,3.0
