RaceID,Season,RaceNumber,Drivers,MAE,RMSE,SpearmanRho,SpearmanP,WinnerCorrect,PodiumHitRate,Top5HitRate,WgtSpearman,Within1Rate,Within3Rate
2018_R4,2018,4,20,6.1,7.2180329730474355,0.21654135338345865,0.3591457825704002,1,0.3333333333333333,0.4,0.3722651118567517,0.1,0.35
2018_R5,2018,5,20,4.4,5.403702434442518,0.5609022556390978,0.010086372424803406,1,0.6666666666666666,0.8,0.6776313030480274,0.2,0.45
2018_R7,2018,7,20,2.3,3.0,0.8646616541353382,8.760838300464326e-07,1,0.6666666666666666,0.8,0.896978722169844,0.45,0.75
2018_R8,2018,8,20,3.3,3.872983346207417,0.7744360902255639,6.119579516446196e-05,1,0.3333333333333333,0.8,0.8234550506744378,0.25,0.5
2018_R18,2018,18,20,4.8,5.656854249492381,0.5187969924812029,0.019088394384192506,0,0.3333333333333333,0.8,0.619313725403861,0.05,0.45
2018_R20,2018,20,20,2.9,3.7416573867739413,0.7894736842105263,3.4905038363866044e-05,1,0.3333333333333333,0.8,0.8360972101378198,0.25,0.7
2019_R6,2019,6,20,2.9,4.2895221179054435,0.7233082706766917,0.00031340341734179537,1,0.6666666666666666,1.0,0.7991137535098457,0.35,0.7
2019_R9,2019,9,20,1.8,2.898275349237888,0.8736842105263156,4.87296288071922e-07,0,0.6666666666666666,1.0,0.8912516972080731,0.6,0.8
2019_R12,2019,12,20,1.9,2.6645825188948455,0.8932330827067668,1.1553772694134429e-07,1,0.6666666666666666,0.8,0.9171748886094029,0.5,0.85
2019_R17,2019,17,20,3.5,4.54972526643093,0.6887218045112782,0.0007852045694487572,0,0.6666666666666666,0.6,0.7610533747567365,0.15,0.7
2019_R18,2019,18,20,3.0,3.9115214431215892,0.7699248120300751,7.183540419814864e-05,1,0.3333333333333333,0.8,0.8276221214507526,0.2,0.8
2019_R19,2019,19,20,2.5,4.207136793592526,0.7338345864661654,0.00023068909336833247,1,1.0,0.8,0.816015838692532,0.55,0.7
2020_R1,2020,1,20,4.2,5.639148871948674,0.5218045112781955,0.0182849434820976,0,0.6666666666666666,1.0,0.6370982029067565,0.3,0.65
2020_R6,2020,6,20,2.1,3.255764119219941,0.8406015037593983,3.4837759296263544e-06,1,1.0,0.8,0.8851576517472005,0.5,0.95
2020_R7,2020,7,20,2.6,3.8987177379235853,0.7714285714285714,6.812469391417078e-05,1,1.0,0.8,0.8387770935758085,0.3,0.85
2020_R12,2020,12,20,2.6,3.4351128074635335,0.8225563909774435,8.529183271703473e-06,1,1.0,0.8,0.864747950397817,0.35,0.7
2021_R7,2021,7,20,2.3,3.331666249791536,0.8330827067669173,5.123854828137097e-06,1,1.0,0.8,0.8720349180553856,0.5,0.8
2021_R10,2021,10,20,4.2,6.115553940568262,0.437593984962406,0.05366144000429185,0,0.6666666666666666,0.6,0.5977334068405395,0.25,0.65
2021_R15,2021,15,20,2.3,3.0659419433511785,0.8586466165413533,1.2663006456217198e-06,1,0.6666666666666666,0.8,0.870894987555984,0.4,0.8
2022_R10,2022,10,20,4.6,5.796550698475776,0.4947368421052631,0.02657864740545714,0,0.3333333333333333,0.8,0.5959116530982118,0.2,0.5
2022_R18,2022,18,20,2.9,4.711687595755898,0.6661654135338345,0.0013421308384466998,1,1.0,0.8,0.7490794400468067,0.55,0.7
2022_R20,2022,20,20,2.5,3.7682887362833544,0.7864661654135338,3.9190215391205776e-05,1,0.6666666666666666,1.0,0.8449178219501257,0.4,0.75
2023_R2,2023,2,20,2.7,3.9115214431215892,0.7699248120300751,7.183540419814864e-05,1,0.6666666666666666,0.8,0.8308768592578104,0.45,0.75
2023_R9,2023,9,20,2.5,3.361547262794322,0.8300751879699247,5.947594428814412e-06,1,0.6666666666666666,0.6,0.8601118017204294,0.3,0.75
2023_R14,2023,14,20,2.6,3.40587727318528,0.825563909774436,7.39882427109212e-06,1,0.6666666666666666,1.0,0.8672287525143553,0.4,0.7
2023_R17,2023,17,20,3.8,5.89915248150105,0.4766917293233082,0.03358407951093336,1,0.3333333333333333,0.6,0.595910413931984,0.45,0.6
2023_R19,2023,19,20,3.3,5.06951674225463,0.613533834586466,0.004013734729903659,1,0.6666666666666666,0.8,0.7220480057432292,0.45,0.65
2023_R20,2023,20,20,4.2,5.941380311005179,0.46917293233082696,0.036896559181429193,1,0.3333333333333333,0.4,0.5783783207978888,0.3,0.55
2024_R4,2024,4,20,1.9,2.569046515733026,0.900751879699248,6.159925386328217e-08,1,0.6666666666666666,1.0,0.9261873920406214,0.45,0.9
2024_R7,2024,7,20,1.6,2.1908902300206643,0.9278195488721804,3.879148683992122e-09,1,1.0,1.0,0.9466771760133421,0.65,0.85
2024_R20,2024,20,20,3.5,4.301162633521313,0.7218045112781954,0.0003270659389347304,0,0.6666666666666666,0.8,0.7882883827474334,0.3,0.5
2024_R22,2024,22,20,2.5,3.5777087639996634,0.8075187969924811,1.6726328546716402e-05,0,0.3333333333333333,0.8,0.8279992793968027,0.4,0.85
2024_R24,2024,24,20,2.9,4.09878030638384,0.7473684210526315,0.00015231370966108289,1,0.6666666666666666,0.6,0.8003663815275611,0.45,0.65
2025_R13,2025,13,20,2.7,4.03732584763727,0.7548872180451127,0.00011960282700609452,0,1.0,1.0,0.8212528922393225,0.55,0.65
2025_R21,2025,21,20,3.6,5.128352561983234,0.6045112781954887,0.004753100824093808,1,0.3333333333333333,0.8,0.7098947401356888,0.35,0.6
