season,round,position,constructorName,points
2018,1,1,Ferrari,40.0
2018,1,2,Mercedes,22.0
2018,1,3,Red Bull,20.0
2018,1,4,McLaren,12.0
2018,1,5,Renault,7.0
2018,1,6,Force India,0.0
2018,1,7,Sauber,0.0
2018,1,8,Williams,0.0
2018,1,9,Toro Rosso,0.0
2018,1,0,Haas F1 Team,0.0
2018,2,1,Ferrari,65.0
2018,2,2,Mercedes,55.0
2018,2,3,McLaren,22.0
2018,2,4,Red Bull,20.0
2018,2,5,Renault,15.0
2018,2,6,Toro Rosso,12.0
2018,2,7,Haas F1 Team,10.0
2018,2,8,Sauber,2.0
2018,2,9,Force India,1.0
2018,2,10,Williams,0.0
2018,3,1,Mercedes,85.0
2018,3,2,Ferrari,84.0
2018,3,3,Red Bull,55.0
2018,3,4,McLaren,28.0
2018,3,5,Renault,25.0
2018,3,6,Toro Rosso,12.0
2018,3,7,Haas F1 Team,11.0
2018,3,8,Sauber,2.0
2018,3,9,Force India,1.0
2018,3,10,Williams,0.0
2018,4,1,Ferrari,114.0
2018,4,2,Mercedes,110.0
2018,4,3,Red Bull,55.0
2018,4,4,McLaren,36.0
2018,4,5,Renault,35.0
2018,4,6,Force India,16.0
2018,4,7,Toro Rosso,13.0
2018,4,8,Haas F1 Team,11.0
2018,4,9,Sauber,10.0
2018,4,10,Williams,4.0
2018,5,1,Mercedes,153.0
2018,5,2,Ferrari,126.0
2018,5,3,Red Bull,80.0
2018,5,4,Renault,41.0
2018,5,5,McLaren,40.0
2018,5,6,Haas F1 Team,19.0
2018,5,7,Force India,18.0
2018,5,8,Toro Rosso,13.0
2018,5,9,Sauber,11.0
2018,5,10,Williams,4.0
2018,6,1,Mercedes,178.0
2018,6,2,Ferrari,156.0
2018,6,3,Red Bull,107.0
2018,6,4,Renault,46.0
2018,6,5,McLaren,40.0
2018,6,6,Force India,26.0
2018,6,7,Toro Rosso,19.0
2018,6,8,Haas F1 Team,19.0
2018,6,9,Sauber,11.0
2018,6,10,Williams,4.0
2018,7,1,Mercedes,206.0
2018,7,2,Ferrari,189.0
2018,7,3,Red Bull,134.0
2018,7,4,Renault,56.0
2018,7,5,McLaren,40.0
2018,7,6,Force India,28.0
2018,7,7,Toro Rosso,19.0
2018,7,8,Haas F1 Team,19.0
2018,7,9,Sauber,12.0
2018,7,10,Williams,4.0
2018,8,1,Mercedes,237.0
2018,8,2,Ferrari,214.0
2018,8,3,Red Bull,164.0
2018,8,4,Renault,62.0
2018,8,5,McLaren,40.0
2018,8,6,Force India,28.0
2018,8,7,Haas F1 Team,27.0
2018,8,8,Toro Rosso,19.0
2018,8,9,Sauber,13.0
2018,8,10,Williams,4.0
2018,9,1,Ferrari,247.0
2018,9,2,Mercedes,237.0
2018,9,3,Red Bull,189.0
2018,9,4,Renault,62.0
2018,9,5,Haas F1 Team,49.0
2018,9,6,McLaren,44.0
2018,9,7,Force India,42.0
2018,9,8,Toro Rosso,19.0
2018,9,9,Sauber,16.0
2018,9,10,Williams,4.0
2018,10,1,Ferrari,287.0
2018,10,2,Mercedes,267.0
2018,10,3,Red Bull,199.0
2018,10,4,Renault,70.0
2018,10,5,Haas F1 Team,51.0
2018,10,6,Force India,49.0
2018,10,7,McLaren,48.0
2018,10,8,Toro Rosso,19.0
2018,10,9,Sauber,16.0
2018,10,10,Williams,4.0
2018,11,1,Mercedes,310.0
2018,11,2,Ferrari,302.0
2018,11,3,Red Bull,211.0
