Season,RaceNumber,Location,Driver,Race
2010,1,Sakhir,Fernando Alonso,1.0
2010,1,Sakhir,Felipe Massa,2.0
2010,1,Sakhir,Lewis Hamilton,3.0
2010,1,Sakhir,Sebastian Vettel,4.0
2010,1,Sakhir,Nico Rosberg,5.0
2010,1,Sakhir,Michael Schumacher,6.0
2010,1,Sakhir,Jenson Button,7.0
2010,1,Sakhir,Mark Webber,8.0
2010,1,Sakhir,Vitantonio Liuzzi,9.0
2010,1,Sakhir,Rubens Barrichello,10.0
2010,1,Sakhir,Robert Kubica,11.0
2010,1,Sakhir,Adrian Sutil,12.0
2010,1,Sakhir,Jaime Alguersuari,13.0
2010,1,Sakhir,Nico Hulkenberg,14.0
2010,1,Sakhir,Heikki Kovalainen,15.0
2010,1,Sakhir,Sébastien Buemi,16.0
2010,1,Sakhir,Jarno Trulli,17.0
2010,1,Sakhir,Pedro de la Rosa,18.0
2010,1,Sakhir,Bruno Senna,19.0
2010,1,Sakhir,Timo Glock,20.0
2010,1,Sakhir,Vitaly Petrov,21.0
2010,1,Sakhir,Kamui Kobayashi,22.0
2010,1,Sakhir,Lucas di Grassi,23.0
2010,1,Sakhir,Karun Chandhok,24.0
2010,2,Melbourne,Jenson Button,1.0
2010,2,Melbourne,Robert Kubica,2.0
2010,2,Melbourne,Felipe Massa,3.0
2010,2,Melbourne,Fernando Alonso,4.0
2010,2,Melbourne,Nico Rosberg,5.0
2010,2,Melbourne,Lewis Hamilton,6.0
2010,2,Melbourne,Vitantonio Liuzzi,7.0
2010,2,Melbourne,Rubens Barrichello,8.0
2010,2,Melbourne,Mark Webber,9.0
2010,2,Melbourne,Michael Schumacher,10.0
2010,2,Melbourne,Jaime Alguersuari,11.0
2010,2,Melbourne,Pedro de la Rosa,12.0
2010,2,Melbourne,Heikki Kovalainen,13.0
2010,2,Melbourne,Karun Chandhok,14.0
2010,2,Melbourne,Timo Glock,15.0
2010,2,Melbourne,Lucas di Grassi,16.0
2010,2,Melbourne,Sebastian Vettel,17.0
2010,2,Melbourne,Adrian Sutil,18.0
2010,2,Melbourne,Vitaly Petrov,19.0
2010,2,Melbourne,Bruno Senna,20.0
2010,2,Melbourne,Sébastien Buemi,21.0
2010,2,Melbourne,Nico Hulkenberg,22.0
2010,2,Melbourne,Kamui Kobayashi,23.0
2010,2,Melbourne,Jarno Trulli,24.0
2010,3,Kuala Lumpur,Sebastian Vettel,1.0
2010,3,Kuala Lumpur,Mark Webber,2.0
2010,3,Kuala Lumpur,Nico Rosberg,3.0
2010,3,Kuala Lumpur,Robert Kubica,4.0
2010,3,Kuala Lumpur,Adrian Sutil,5.0
2010,3,Kuala Lumpur,Lewis Hamilton,6.0
2010,3,Kuala Lumpur,Felipe Massa,7.0
2010,3,Kuala Lumpur,Jenson Button,8.0
2010,3,Kuala Lumpur,Jaime Alguersuari,9.0
2010,3,Kuala Lumpur,Nico Hulkenberg,10.0
2010,3,Kuala Lumpur,Sébastien Buemi,11.0
2010,3,Kuala Lumpur,Rubens Barrichello,12.0
2010,3,Kuala Lumpur,Fernando Alonso,13.0
2010,3,Kuala Lumpur,Lucas di Grassi,14.0
2010,3,Kuala Lumpur,Karun Chandhok,15.0
2010,3,Kuala Lumpur,Bruno Senna,16.0
2010,3,Kuala Lumpur,Jarno Trulli,17.0
2010,3,Kuala Lumpur,Heikki Kovalainen,18.0
2010,3,Kuala Lumpur,Vitaly Petrov,19.0
2010,3,Kuala Lumpur,Vitantonio Liuzzi,20.0
2010,3,Kuala Lumpur,Michael Schumacher,21.0
2010,3,Kuala Lumpur,Kamui Kobayashi,22.0
2010,3,Kuala Lumpur,Timo Glock,23.0
2010,3,Kuala Lumpur,Pedro de la Rosa,24.0
2010,4,Shanghai,Jenson Button,1.0
2010,4,Shanghai,Lewis Hamilton,2.0
2010,4,Shanghai,Nico Rosberg,3.0
2010,4,Shanghai,Fernando Alonso,4.0
2010,4,Shanghai,Robert Kubica,5.0
2010,4,Shanghai,Sebastian Vettel,6.0
2010,4,Shanghai,Vitaly Petrov,7.0
2010,4,Shanghai,Mark Webber,8.0
2010,4,Shanghai,Felipe Massa,9.0
2010,4,Shanghai,Michael Schumacher,10.0
2010,4,Shanghai,Adrian Sutil,11.0
2010,4,Shanghai,Rubens Barrichello,12.0
2010,4,Shanghai,Jaime Alguersuari,13.0
2010,4,Shanghai,Heikki Kovalainen,14.0
2010,4,Shanghai,Nico Hulkenberg,15.0
2010,4,Shanghai,Bruno Senna,16.0
2010,4,Shanghai,Karun Chandhok,17.0
2010,4,Shanghai,Jarno Trulli,18.0
2010,4,Shanghai,Lucas di Grassi,19.0
2010,4,Shanghai,Pedro de la Rosa,20.0
2010,4,Shanghai,Sébastien Buemi,21.0
2010,4,Shanghai,Kamui Kobayashi,22.0
2010,4,Shanghai,Vitantonio Liuzzi,23.0
2010,4,Shanghai,Timo Glock,24.0
2010,5,Barcelona,Mark Webber,1.0
2010,5,Barcelona,Fernando Alonso,2.0
2010,5,Barcelona,Sebastian Vettel,3.0
2010,5,Barcelona,Michael Schumacher,4.0
2010,5,Barcelona,Jenson Button,5.0
2010,5,Barcelona,Felipe Massa,6.0
2010,5,Barcelona,Adrian Sutil,7.0
2010,5,Barcelona,Robert Kubica,8.0
2010,5,Barcelona,Rubens Barrichello,9.0
2010,5,Barcelona,Jaime Alguersuari,10.0
2010,5,Barcelona,Vitaly Petrov,11.0
2010,5,Barcelona,Kamui Kobayashi,12.0
2010,5,Barcelona,Nico Rosberg,13.0
2010,5,Barcelona,Lewis Hamilton,14.0
2010,5,Barcelona,Vitantonio Liuzzi,15.0
2010,5,Barcelona,Nico Hulkenberg,16.0
2010,5,Barcelona,Jarno Trulli,17.0
2010,5,Barcelona,Timo Glock,18.0
2010,5,Barcelona,Lucas di Grassi,19.0
2010,5,Barcelona,Sébastien Buemi,20.0
2010,5,Barcelona,Karun Chandhok,21.0
2010,5,Barcelona,Pedro de la Rosa,22.0
2010,5,Barcelona,Bruno Senna,23.0
2010,5,Barcelona,Heikki Kovalainen,24.0
2010,6,Monte Carlo,Mark Webber,1.0
2010,6,Monte Carlo,Sebastian Vettel,2.0
2010,6,Monte Carlo,Robert Kubica,3.0
2010,6,Monte Carlo,Felipe Massa,4.0
2010,6,Monte Carlo,Lewis Hamilton,5.0
2010,6,Monte Carlo,Fernando Alonso,6.0
2010,6,Monte Carlo,Nico Rosberg,7.0
2010,6,Monte Carlo,Adrian Sutil,8.0
2010,6,Monte Carlo,Vitantonio Liuzzi,9.0
2010,6,Monte Carlo,Sébastien Buemi,10.0
2010,6,Monte Carlo,Jaime Alguersuari,11.0
